排名,词语,总词频
1,的,202
2,你,146
3,我,114
4,爱,89
5,Me,33
6,是,29
7,Love,29
8,人,23
9,了,22
10,I,21
11,在,20
12,The,19
13,来,18
14,花,17
15,爱情,16
16,离开,16
17,想,15
18,一个,15
19,Mr,15
20,都,14
